
layout:  coords for TL TR BL BR, captured = false, cost to capture, and vic pts its worth

z3 = zone(142, 117, 144, 138, 142, 126, 152, 118, False, 2, 2)

z4 = zone(157, 161, 180, 190, 147, 203, 165, 210, False, 4, 3)

z5 = zone(158, 255, 111, 338, 135, 286, 111, 350, False, 3, 2)

z6 = zone(125, 338, 134, 347, 135, 342, 160, 370, False, 2, 2)

z7 = zone(178, 148, 187, 157, 190, 170, 205, 190, False, 3, 2)

z8 = zone(170, 234, 189, 222, 202, 218, 201, 225, False, 3, 2)

z9 = zone(193, 262, 178, 282, 193, 307, 204, 282, False, 4, 3)

z10 = zone(153, 306, 140, 323, 161, 337, 187, 348, False, 5, 3)

z11 = zone(127, 388, 133, 395, 122, 403, 110, 410, False, 3, 3)

z12 = zone(150, 430, 151, 430, 150, 431, 151, 431, False, 1, 1)

z13 = zone(195, 432, 227, 439, 197, 471, 210, 472, False, 4, 4)

z14 = zone(227, 84, 244, 85, 236, 95, 240, 87, False, 2, 2)

z15 = zone(272, 105, 274, 105, 272, 107, 274, 107, False, 14, 10)

z16 = zone(260, 143, 261, 160, 268, 177, 270, 195, False, 4, 3)

z17 = zone(288, 193, 189, 193, 288, 194, 289, 294, False, 1, 1)

z18 = zone(256, 212, 324, 198, 260, 243, 310, 232, False, 5, 4)

z19 = zone(298, 255, 292, 263, 296, 270, 300, 260, False, 3, 2)

z20 = zone(271, 265, 278, 275, 264, 284, 281, 295, False, 3, 3)

z21 = zone(255, 337, 275, 340, 300, 345, 280, 360, False, 4, 3)

z22 = zone(244, 357, 240, 370, 230, 380, 247, 374, False, 3, 2)

z23 = zone(220, 400, 230, 400, 220, 410, 230, 410, False, 2, 2)

z24 = zone(250, 390, 270, 387, 255, 400, 270, 400, False, 4, 3)

z25 = zone(249, 421, 279, 419, 254, 430, 260, 420, False, 3, 3)

z26 = zone(300, 400, 310, 410, 288, 434, 300, 434, False, 4, 3)

z27 = zone(234, 464, 300, 452, 254, 484, 300, 482, False, 5, 4)

z28 = zone(296, 108, 291, 126, 273, 130, 287, 155, False, 4, 3)

z29 = zone(302, 136, 305, 136, 302, 139, 305, 139, False, 2, 1)

z30 = zone(310, 162, 313, 163, 310, 168, 313, 168, False, 7, 5)



























